ticket id,description,priority,affected_users,support_level,source
TCKT-200001,Users unable to access VPN after password reset,P2,45,L2,Email
TCKT-200002,Database connection timeout in production server,P1,120,L3,Monitoring System
TCKT-200003,Printer not responding in finance department,P4,6,L1,Phone
TCKT-200004,Multiple failed login attempts detected from external IP,P1,80,L2,SIEM Alert
TCKT-200005,Feature request for adding export button to dashboard,P3,15,L1,Portal
TCKT-200006,Network latency observed in east wing office,P2,60,L2,Monitoring System
TCKT-200007,Application crashing after latest update,P2,25,L3,Email
TCKT-200008,Subscription cancellation requested by client,P3,3,L1,Chat
TCKT-200009,Firewall rule misconfiguration causing outage,P1,200,L3,Monitoring System
TCKT-200010,Shared drive inaccessible for marketing team,P2,35,L2,Phone
